TITLE,RATING,RUNTIME,IMDB_RATING,GENRE,RELEASE_YEAR,DESCRIPTION,DIRECTOR,STARS,VOTES,TYPE
Miracle on 34th Street,Not Rated,96.0,7.9,"Comedy, Drama, Family",1947.0,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart, ","53,189",Movie
Four Christmases,PG-13,88.0,5.7,"Comedy, Drama, Romance",2008.0,A couple struggles to visit all four of their divorced parents on Christmas.,Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall, ","78,898",Movie
Home Alone 3,PG,102.0,4.6,"Action, Comedy, Crime",1997.0,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen, ","124,554",Movie
The Muppet Christmas Carol,G,85.0,7.8,"Comedy, Drama, Family",1992.0,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, ","67,536",Movie
Office Christmas Party,R,105.0,5.9,Comedy,2016.0,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,"Will Speck, Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston, ","86,267",Movie
Feast of the Seven Fishes,Not Rated,99.0,6.8,Comedy,2019.0,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,"Tony Bingham, Skyler Gisondo, Paul Ben-Victor, Jean Zarzour, ","2,884",Movie
Bad Santa,R,92.0,7.1,"Comedy, Crime, Drama",2003.0,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter, ","152,299",Movie
The Christmas Chronicles,PG,104.0,7.0,"Adventure, Comedy, Family",2018.0,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson, ","81,195",Movie
The Nightmare Before Christmas,PG,76.0,7.9,"Animation, Family, Fantasy",1993.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, ","368,946",Movie
Deck the Halls,PG,93.0,5.0,"Comedy, Family",2006.0,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,John Whitesell,"Matthew Broderick, Danny DeVito, Kristin Chenoweth, Kristin Davis, ","32,250",Movie
Best  Christmas  Ever!,TV-PG,82.0,4.4,"Comedy, Romance",2023.0,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,"Heather Graham, Brandy Norwood, Jason Biggs, Matt Cedeño, ","8,063",Movie
It's a Wonderful Knife,R,87.0,5.3,"Comedy, Horror, Mystery",2023.0,"After saving her town from a psychotic killer, Winnie Carruthers' life is less than wonderful. When she wishes she'd never been born, she finds herself in a nightmare parallel universe where without her, things could be much, much worse.",Tyler MacIntyre,"Jane Widdop, Joel McHale, Justin Long, Jess McLeod, ","3,853",Movie
A Christmas Story Christmas,PG,98.0,6.7,"Comedy, Family",2022.0,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",Clay Kaytis,"Peter Billingsley, Erinn Hayes, River Drosche, Julianna Layne, ","17,394",Movie
Santa's Slay,R,78.0,5.3,"Comedy, Fantasy, Horror",2005.0,"Santa Claus is actually a demon who lost a bet with an angel, so he becomes the giver of toys and happiness. But when the bet is off, he returns to his evil ways.",David Steiman,"Bill Goldberg, Douglas Smith, Emilie de Ravin, Robert Culp, ","11,044",Movie
Rudolph the Red-Nosed Reindeer,TV-G,47.0,8.0,"Animation, Adventure, Comedy",1964.0,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Larry Roemer,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles, ","36,467",Movie
How the Grinch Stole Christmas!,Not Rated,26.0,8.3,"Animation, Comedy, Family",1966.0,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,Chuck Jones,"Ben Washam, Boris Karloff, June Foray, Dal McKennon, ","57,368",Movie
The Naughty Nine,TV-PG,83.0,5.2,"Adventure, Comedy, Crime",2023.0,"When Andy finds out he's on Santa's ""naughty list,"" he pulls together a group of ""naughty list"" kids to get the presents they think they deserve.",Alberto Belli,"Winslow Fegley, Deric McCabe, Derek Theler, Danny Glover, ","1,527",Movie
A Christmas Carol,PG,100.0,7.8,"Drama, Family, Fantasy",1984.0,A bitter old miser who rationalizes his uncaring nature learns real compassion when three spirits visit him on Christmas Eve.,Clive Donner,"George C. Scott, Frank Finlay, Angela Pleasence, Edward Woodward, ","17,502",Movie
Little Women,PG,135.0,7.8,"Drama, Romance",2019.0,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, ","234,116",Movie
Fred Claus,PG,116.0,5.7,"Comedy, Family, Fantasy",2007.0,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",David Dobkin,"Vince Vaughn, Paul Giamatti, Elizabeth Banks, John Michael Higgins, ","46,958",Movie
Noelle,G,100.0,6.3,"Comedy, Family, Fantasy",2019.0,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Marc Lawrence,"Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir, ","26,007",Movie
The Santa Clause 3: The Escape Clause,G,92.0,4.8,"Adventure, Comedy, Family",2006.0,"Santa, a.k.a. Scott Calvin, is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas.",Michael Lembeck,"Tim Allen, Martin Short, Elizabeth Mitchell, Eric Lloyd, ","41,887",Movie
Jack Frost,PG,101.0,5.4,"Comedy, Drama, Family",1998.0,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",Troy Miller,"Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy, ","40,067",Movie
Holidate,TV-MA,104.0,6.1,"Comedy, Romance",2020.0,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, ","76,442",Movie
Black Christmas,R,98.0,7.1,"Horror, Mystery, Thriller",1974.0,"During their Christmas break, a group of sorority girls are stalked by a stranger.",Bob Clark,"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon, ","46,769",Movie
Santa Claus,PG,107.0,6.2,"Adventure, Family, Fantasy",1985.0,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,Jeannot Szwarc,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith, ","15,236",Movie
Love Hard,TV-MA,104.0,6.3,"Comedy, Romance",2021.0,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.",Hernán Jiménez,"Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito, ","59,820",Movie
Arthur Christmas,PG,97.0,7.1,"Animation, Adventure, Comedy",2011.0,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a misplaced present to a young girl in less than two hours on Christmas Day.,Sarah Smith,"Barry Cook, James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie, ","65,517",Movie
Holiday Inn,Passed,100.0,7.3,"Comedy, Drama, Music",1942.0,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.",Mark Sandrich,"Robert Allen, Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale, ","17,038",Movie
Catering Christmas,Not Rated,86.0,6.0,"Comedy, Romance",2022.0,Molly Frost a struggling new catering business owner lands on New Hampshire's biggest event of the year.,T.W. Peacocke,"Merritt Patterson, Daniel Lissing, Michael Hanrahan, Rosemary Dunsmore, ","3,061",Movie
Santa Claus Is Comin' to Town,TV-G,48.0,7.7,"Animation, Adventure, Comedy",1970.0,A mailman reveals the origin of Santa Claus.,Jules Bass,"Arthur Rankin Jr., Fred Astaire, Mickey Rooney, Keenan Wynn, Paul Frees, ","16,973",Movie
A Merry Scottish Christmas,TV-G,84.0,6.6,"Comedy, Drama, Romance",2023.0,Follows estranged siblings Lindsay and Brad as they travel to Scotland at Christmas to reunite with their mother Jo.,Dustin Rikert,"Lacey Chabert, Scott Wolf, James Robinson, Kellie Blaise, ","1,437",Movie
