TITLE,RATING,RUNTIME,IMDB_RATING,GENRE,RELEASE_YEAR,DESCRIPTION,DIRECTOR,STARS,VOTES,TYPE
A Royal Winter,TV-G,84.0,6.4,"Drama, Family, Romance",2017.0,"While on a last-minute European holiday, a young woman finds herself in the middle of a real-life fairy tale when a chance meeting with a handsome local leads to something more.",Ernie Barbarash,"Merritt Patterson, Jack Donnelly, Samantha Bond, Rhea Bailey, ","3,578",Movie
Long Lost Christmas,TV-G,84.0,6.8,"Comedy, Drama, Family",2022.0,Interior designer Hailey sets out to surprise her mother Patricia with an unexpected gift related to the extended family for which she has long yearned.,Michael Robison,"Benjamin Ayres, Taylor Cole, Liza Huget, Stefania Indelicato, ",972,Movie
A Perfect Christmas Pairing,Not Rated,85.0,5.3,Romance,2023.0,"Top chef Grace Cooke rips in reviews due to her gastro-scientific approach to cuisine. She takes time off to see her family over Christmas and connects with traveler Asher St. James, where Asher helps her reconnect with her roots.",Dave Thomas,"Ansley Gordon, Chris Connell, Meg Biddle Smith, Nico Alexander, ",164,Movie
A Christmas Cookie Catastrophe,TV-G,84.0,6.3,"Comedy, Romance",2022.0,Annie Cooper has big shoes to fill when she takes over as CEO of her late grandmother's small-town cookie company and is doing her best to help their struggling business get back on track. ...                See full summary »,Jeff Beesley,"Rachel Boston, Victor Webster, Averie Peters, Stephanie Sy, ",959,Movie
Christmas at Castle Hart,TV-G,84.0,6.2,"Comedy, Romance",2021.0,"Brooke Bennett goes to Ireland for Christmas to search for her Irish roots. While there, she meets Aiden Hart. Mistaken for an elite event planner, she's hired to host his castle's epic Christmas party.",Stefan Scaini,"Lacey Chabert, Stuart Townsend, Ali Hardiman, Kate O'Toole, ","1,959",Movie
A Christmas Movie Christmas,Unrated,88.0,5.6,"Comedy, Fantasy, Romance",2019.0,"After making a Christmas Eve wish to Santa, two sisters wake up inside a Christmas movie.",Brian Herzlinger,"Brant Daugherty, Lana McKissack, Kimberly Daugherty, Ryan Merriman, ","1,514",Movie
Christmas on the Square,TV-PG,98.0,5.2,"Comedy, Family, Musical",2020.0,"An embittered scrooge of a woman plans to sell her small town, regardless of the consequences to the people who live there. However, a kindhearted angel arrives and shows her what would happen before she mends her ways and redeems herself.",Debbie Allen,"Dolly Parton, Jenifer Lewis, Josh Segarra, Jeanine Mason, ","3,031",Movie
Beauty and the Beast: The Enchanted Christmas,G,72.0,5.9,"Animation, Family, Fantasy",1997.0,"Astonished to find the Beast has a deep-seated hatred for the Christmas season, Belle endeavors to change his mind on the matter.",Andrew Knight,"Paige O'Hara, Robby Benson, Jerry Orbach, David Ogden Stiers, ","11,799",Movie
Everything Christmas,TV-G,85.0,6.0,Romance,2023.0,"Christmas enthusiast, Lori-Jo embarks on an epic 3 day road trip with her workaholic best friend, Victoria to the town where it's Christmas all year round. They run into handsome, like-minded strangers Zach and Jason.",Marni Banack,"Cindy Busby, Katherine Barrell, Corey Sevier, Matt Wells, ",702,Movie
The Nine Kittens of Christmas,TV-G,84.0,6.6,"Comedy, Drama, Family",2021.0,Zachary and Marilee are thrown back together at Christmas when they're tasked with finding homes for a litter of adorable kittens.,David Winning,"Brandon Routh, Kimberley Sustad, Gregory Harrison, Stephanie Bennett, ","1,851",Movie
A Christmas in Vermont,TV-PG,86.0,5.5,"Comedy, Romance",2016.0,A company executive is tasked with liquidizing a small town outerwear manufacturer over the Christmas season.,Fred Olen Ray,"Abigail Hawk, Chevy Chase, David O'Donnell, Howard Hesseman, ","1,235",Movie
Jolly Good Christmas,TV-G,90.0,6.6,"Comedy, Romance",2022.0,"David (Kemp) is an American architect who recently moved to London for a prime opportunity in a prestigious firm. With just three days before Christmas, he must still purchase a gift for ...                See full summary »",Jonathan Wright,"Will Kemp, Reshma Shetty, Callum Blue, Su McLaughlin, ","1,409",Movie
The Christmas Shoes,TV-PG,100.0,6.6,"Drama, Family",2002.0,"A young boy tries to get a pair of Christmas shoes for his dying mother, while a lawyer tries to deal with the break-up of his marriage.",Andy Wolk,"Rob Lowe, Kimberly Williams-Paisley, Max Morrow, Maria del Mar, ","2,851",Movie
A Maple Valley Christmas,TV-G,85.0,6.3,"Comedy, Drama, Romance",2022.0,"Erica is a rancher who has spent her whole life working the family farm with her mother and sister. When Aaron arrives and disrupts her plans, she starts to question what it is she actually wants.",Paul Ziller,"Peyton List, Andrew W. Walker, Frances Flanagan, Ella Cannon, ","1,175",Movie
Cross Country Christmas,TV-G,83.0,6.6,"Comedy, Romance",2020.0,"After their flight is diverted, two old school friends work together to try and get back home in time for Christmas.",Catherine Cyran,"Rachael Leigh Cook, Greyston Holt, Jon Cor, Robyn Bradley, ","1,937",Movie
The Christmas Cottage,TV-G,90.0,6.3,"Comedy, Drama, Romance",2017.0,"While helping to organize her best friend's Christmas wedding, a successful designer reconnects with an old flame.",Paul A. Kaufman,"Merritt Patterson, Steve Lund, Brittney Wilson, Victor Zinck Jr., ","2,340",Movie
Nativity Rocks!,Not Rated,100.0,4.3,"Comedy, Family, Musical",2018.0,The staff and students of St Bernadette's Primary School in Coventry audition for a place in a rock-musical competition.,Debbie Isitt,"Simon Lipkin, Craig Revel Horwood, Daniel Boys, Anna Chancellor, ",771,Movie
Mr  Soft Touch,Approved,93.0,6.6,"Crime, Drama, Romance",1949.0,"When he learns that a gangster has taken over his nightclub and murdered his partner, returning WW2 hero Joe Miracle steals the money from the club's safe and hides in a settlement home, while the mob is on his tail.",Gordon Douglas,"Henry Levin, Glenn Ford, Evelyn Keyes, John Ireland, Beulah Bondi, ","1,187",Movie
Reporting for Christmas,Not Rated,86.0,5.7,"Drama, Romance",2023.0,"When an idealistic reporter is assigned a puff piece about a Christmas toy manufacturer over the holidays, a charming toymaker inspires her to search her heart to find true happiness.",Jack C. Newell,"Tamara Feldman, Matt Trudeau, Kelvin John Davis, Suzanne C Johnson, ",331,Movie
Christmas Time Capsule,Not Rated,No data,6.2,Romance,2023.0,"James left a family heirloom engagement ring with his best friend, Tiffany, for safekeeping. He asks Tiffany for the ring, intending to propose to another woman. Tiffany has other ideas on who James should marry.",Marco Deufemia,"Paula Tiberius, Franco Lo Presti, Emily Alatalo, Lindura, Toni Ellwand, ",263,Movie
A Christmas Love Story,TV-G,84.0,6.9,"Drama, Music, Romance",2019.0,"A youth choir director (Chenoweth) needs to write a big song for the Christmas Eve show but ""finds herself distracted"" when a boy with a golden voice (Kevin Quinn) joins her choir, which will come as news to his widowed father (Wolf).",Eric Close,"Kristin Chenoweth, Scott Wolf, Kevin Quinn, Keith D. Robinson, ","1,674",Movie
A Christmas Coincidence,TV-G,87.0,6.6,"Drama, Romance",2018.0,A woman who accepts her boyfriend's marriage proposal is invited to her aunt's home for Christmas and develops romantic feelings for an inn owner.,Michael Robison,"Kimberley Sustad, Paul Campbell, Kathie Lee Gifford, Giles Panton, ","1,955",Movie
Snow Bride,TV-G,84.0,6.7,"Comedy, Family, Romance",2013.0,"Greta Kaine (Katrina Law) is always in search of juicy gossip. As a gossip-tabloid reporter in Los Angeles, it's her job to expose the rich and famous. So when word gets out that the late ...                See full summary »",Bert Kish,"Katrina Law, Jordan Belfi, Patricia Richardson, Susie Abromeit, ","3,693",Movie
Homegrown Christmas,TV-G,88.0,6.0,Romance,2018.0,"After stepping down as CEO of her dream job, Maddie (Lori Loughlin) heads home for the holidays to gain perspective. She runs into her high-school sweetheart Carter (Victor Webster), and ...                See full summary »",Mel Damski,"Lori Loughlin, Victor Webster, Gwynyth Walsh, Isabella Giannulli, ","1,230",Movie
Blending Christmas,TV-PG,85.0,5.4,"Comedy, Drama, Family",2021.0,The holiday season is in full swing when Emma learns that the resort where she used to spend Christmases with her family is being redeveloped.,Marla Sokoloff,"Haylie Duff, Aaron O'Connell, Christopher Knight, Mike Lookinland, ",507,Movie
The Best Man Holiday,R,123.0,6.6,"Comedy, Drama",2013.0,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",Malcolm D. Lee,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs, ","16,694",Movie
A Bride for Christmas,TV-G,84.0,6.5,"Comedy, Romance",2012.0,A single man tries to win a bet by getting a woman recovering from a broken engagement to marry him by Christmas.,Gary Yates,"Arielle Kebbel, Andrew W. Walker, Kimberley Sustad, Sage Brocklebank, ","4,595",Movie
A Taste of Christmas,TV-PG,91.0,5.5,"Comedy, Romance",2020.0,"When Natalie learns her cousin Francesca must cancel the Christmas Eve opening of her new Italian restaurant, Natalie's heart goes out to all of the guests who were planning on attending.",Damián Romay,"Anni Krueger, Gilles Marini, Nia Vardalos, Emma Myers, ",625,Movie
A Veteran's Christmas,TV-G,84.0,7.0,"Drama, Romance",2018.0,"After receiving an honorable discharge, a former Marine suffers a minor car accident which strands her in a small town for the Christmas season.",Mark Jean,"Sean Faris, Eloise Mumford, Mary Long, Amanda Lisman, ","2,305",Movie
Christmas on the Farm,Not Rated,86.0,5.2,"Comedy, Drama, Romance",2021.0,A romantic comedy about a New York socialite who fakes her identity to get her book published and has to rush back to her deceased mother's farm when the publisher and her son come to visit their 'Australian' author.,Christopher Weekes,"Poppy Montgomery, Darren McMullen, Hugh Sheridan, Nicholas Brown, ",942,Movie
Christmas by Design,Not Rated,84.0,6.1,"Comedy, Drama, Romance",2023.0,A fashion designer learns what's most important in life when she joins a Christmas challenge to create a new holiday-themed collection.,Max McGuire,"Rebecca Dalton, Jonathan Keltz, Joanna Douglas, Susan Hamann, ",658,Movie
A Holiday Spectacular,TV-G,85.0,7.2,"Comedy, Drama, Romance",2022.0,"Set in 1958, follows Maggie who sneaks up to New York City to make her secret dream come true: dancing live on stage in the Christmas Spectacular at Radio City Music Hall, putting her high-society wedding plans on hold.",John Putch,"Ginna Claire Mason, Derek Klena, Sara Gallo, Tiffany Denise Hobbs, ","1,269",Movie
Family for Christmas,TV-G,85.0,6.2,"Drama, Family, Fantasy",2015.0,"After a conversation with a man playing Santa Claus during her office Christmas party, a woman wakes up to find herself married to her college sweetheart with two kids, and questions her life choices.",Amanda Tapping,"Lacey Chabert, Tyron Leitso, Milli Wilkinson, Audrey Smallman, ","2,581",Movie
A Big Fat Family Christmas,TV-G,85.0,6.5,"Comedy, Drama, Romance",2022.0,Liv gets an assignment to photograph the Chang family's annual holiday party for a front-page story--nobody at work knows that they are her family. She wants to confide in new co-worker Henry but doesn't want to jeopardize her big break.,Jennifer Liao,"Shannon Chan-Kent, Shannon Kook, Tia Carrere, Yee Jee Tso, ",798,Movie
Christmas Land,TV-G,84.0,5.8,"Comedy, Drama, Family",2015.0,"After inheriting a Christmas tree farm, a woman's plans to sell it change when she falls in love with the townspeople and meets a charming lawyer named Tucker.",Sam Irvin,"Nikki Deloach, Luke Macfarlane, Jason-Shane Scott, Maureen McCormick, ","2,932",Movie
No Sleep 'Til Christmas,TV-14,90.0,6.5,"Comedy, Romance",2018.0,A bartender and a businesswoman find they only have one thing in common; insomnia.,Phil Traill,"Odette Annable, Dave Annable, Charles Michael Davis, Alphonso McAuley, ","3,002",Movie
March of the Wooden Soldiers,Passed,77.0,7.1,"Comedy, Family, Fantasy",1934.0,"Opposing the evil Barnaby, Ollie Dee and Stanley Dum try and fail to pay-off Mother Peep's mortgage and mislead his attempts to marry Little Bo. Enraged, Barnaby's Bogeymen are set on Toyland.",Gus Meins,"Charley Rogers, Stan Laurel, Oliver Hardy, Virginia Karns, Charlotte Henry, ","7,433",Movie
A Christmas Miracle for Daisy,Not Rated,85.0,5.9,Romance,2021.0,"Whitney (Wagner) owns Marietta Designs, an interior-design firm which she runs with her friend Andi (Tegan Moss). She's designing Santa's float for the town's annual Christmas parade when a...                See full summary »",Mike Rohl,"Jill Wagner, Nick Bateman, Rubi Tupper, Tegan Moss, ","2,714",Movie
Chateau Christmas,TV-G,84.0,6.4,"Comedy, Drama, Music",2020.0,"World-famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.",Michael Robison,"Merritt Patterson, Luke Macfarlane, Jesse Hutch, Julia Benson, ","1,888",Movie
The Mistle-Tones,TV-PG,90.0,6.4,"Comedy, Family, Music",2012.0,A talented singer forms a musical group and challenges her rivals to a competition on Christmas Eve.,Paul Hoen,"Tia Mowry, Jonathan Patrick Moore, Andy Gala, Megan Kathleen Duffy, ","2,493",Movie
A Fabled Holiday,TV-G,84.0,6.6,"Comedy, Drama, Romance",2022.0,Talia and her childhood best friend Anderson reunite in a curiously familiar-looking town full of Christmas spirit that restores its visitors when they need it most.,Ruby J. Munro,"Brooke D'Orsay, Ryan Paevey, John Prowse, Carmel Amit, ","1,200",Movie
The Sweetest Christmas,TV-G,90.0,6.3,"Comedy, Drama, Romance",2017.0,"Kylie is expecting a proposal from her boyfriend/boss at a restaurant and gets a promotion instead. The restaurant owner is her old high school boyfriend, she hasn't seen in years. They help each other out. Love in the air?",Terry Ingram,"Lacey Chabert, Lea Coco, Jonathan Adams, Brenden Sunderland, ","2,640",Movie
Christmas Cupid,PG-13,85.0,5.4,"Comedy, Fantasy, Romance",2010.0,A supernatural comedy in which a ruthless PR executive is forced to reconsider her life choices when her number one client suffers an untimely death during the Christmas season.,Gil Junger,"Christina Milian, Kenny Alfonso, Cynthia Evans, Burgess Jenkins, ","4,059",Movie
A Christmas Prince: The Royal Wedding,TV-PG,92.0,5.3,"Comedy, Drama, Romance",2018.0,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ","11,765",Movie
Small Town Christmas,TV-G,85.0,6.7,"Comedy, Drama, Romance",2018.0,A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.,Maclain Nelson,"Ashley Newbrough, Kristoffer Polaha, Preston Vanderslice, Bailey Skodje, ","1,932",Movie
Scrooge,PG,78.0,6.4,"Drama, Family, Fantasy",1935.0,"Ebenezer Scrooge is a mean old miser who wants nothing to do with Christmas. The Ghosts of Christmas Past, Present and Yet to Come visit Scrooge on Christmas Eve, taking him on a journey into the very spirit and magic of Christmas itself.",Henry Edwards,"Seymour Hicks, Donald Calthrop, Robert Cochran, Mary Glynne, ","2,553",Movie
A Christmas Wish,TV-PG,90.0,6.3,"Comedy, Drama, Family",2019.0,"Maddie slips in a wish that her sister Faith will experience true love for the first time. The next day, Faith meets seemingly-perfect Andrew, but is he really the one for her?",Emily Moss Wilson,"Hilarie Burton, Tyler Hilton, Megan Park, Lee Norris, ","1,081",Movie
Jingle Bell Princess,Not Rated,84.0,6.5,Romance,2021.0,"Through a series of mishaps, sophisticated Princess Amelia is stranded in the small town of Tucker, Maine. There she becomes an ""ordinary"" guest of the unsuspecting Cutler family.",Don McBrearty,"Merritt Patterson, Trevor Donovan, Charlie Boyle, Marnie McPhail, ","1,169",Movie
A Shoe Addict's Christmas,TV-G,85.0,6.6,"Fantasy, Romance",2018.0,Noelle's life stopped when her boyfriend broke up with her on Christmas Eve three years ago. A handsome fireman moves in above her. She gets locked in at work in a department store all alone save the ghost of Christmas past.,Michael Robison,"Candace Cameron Bure, Luke Macfarlane, Jean Smart, Tenika Davis, ","3,000",Movie
Falling for Christmas,TV-G,87.0,6.2,"Drama, Romance, Sport",2016.0,"An injured figure skater is sent to the mountains to recover from an injury. Once there, she meets an ex-hockey player and his young daughter and begins to realize that something is missing from her life.",Christie Will Wolf,"Leah Renee, Niall Matter, Lisa Whelchel, Michael Teigen, ","1,672",Movie
Debbie Macomber's Dashing Through the Snow,Not Rated,83.0,6.5,"Comedy, Family, Romance",2015.0,"Stranded at an airport at Christmastime, Ashley Jane Harrison accepts a ride from Dash Sutherland, who has just rented the last car in town. As the pair heads north, their adventures include car trouble.",Kristoffer Tabori,"Meghan Ory, Andrew W. Walker, Aaron Craven, Rukiya Bernard, ","2,684",Movie
The Flight Before Christmas,TV-PG,88.0,5.9,"Comedy, Romance",2015.0,"Two strangers who both happen to be in marketing, share a room at a bed-and-breakfast when a snowstorm strands their flight in Montana on Christmas Eve.",Peter Sullivan,"Mayim Bialik, Ryan McPartlin, Reginald VelJohnson, Jo Marie Payton, ","2,035",Movie
Christmas in Evergreen,TV-G,84.0,6.5,"Drama, Family, Fantasy",2017.0,"Hoping to spur her longtime beau to action, a small-town veterinarian wishes upon a snow globe that this will be her most romantic Christmas ever.",Alex Zamm,"Ashley Williams, Teddy Sears, Holly Robinson Peete, Jaeda Lily Miller, ","3,024",Movie
Time for Me to Come Home for Christmas,TV-G,84.0,6.6,"Comedy, Drama, Music",2018.0,"When strangers Cara and Heath are stranded before Christmas, they embark on an unexpected journey that may give them the miracles they've been hoping for.",David Winning,"Josh Henderson, Megan Park, Lindsay Maxwell, Paul McGillion, ","1,785",Movie
A Season for Miracles,G,100.0,7.6,"Drama, Romance",1999.0,A miracle occurs for a homeless family consisting of two children neglected by their incarcerated mother and their protective aunt who is trying to keep them out of the foster system with the help of an angel.,Michael Pressman,"Carla Gugino, Kathy Baker, David Conrad, Laura Dern, ","1,873",Movie
The Nine Lives of Christmas,TV-G,86.0,7.2,"Comedy, Drama, Family",2014.0,"After a stray cat adopts Zachary, he meets Marilee and realizes the single life is not as fulfilling as he thought it was.",Mark Jean,"Brandon Routh, Kimberley Sustad, Stephanie Bennett, Chelsea Hobbs, ","4,423",Movie
"Nativity 3: Dude, Where's My Donkey !",Not Rated,109.0,3.6,"Comedy, Family",2014.0,"The pupils of St Bernadette's and the madcap Mr Poppy are back. When their new teacher Mr Shepherd loses his memory as well as Archie the Donkey, it's up to them to save the day and reunite him with his fiancée Sophie in New York.",Debbie Isitt,"Martin Clunes, Marc Wootton, Catherine Tate, Adam Garcia, ","2,052",Movie
Every Christmas Has a Story,TV-G,82.0,6.1,"Comedy, Romance",2016.0,"While on air, a TV personality accidentally admits she hates Christmas. When she goes to a small town to film a special to repair her image, the Christmas spirit begins to change her life.",Ron Oliver,"Lori Loughlin, Colin Ferguson, Willie Aames, Catherine Lough Haggquist, ","1,939",Movie
The Christmas Contract,TV-PG,87.0,6.8,"Drama, Family, Romance",2018.0,A recently-single woman dreads the thought of going back to her Louisiana hometown for Christmas when she finds out that her ex-boyfriend will be there with his new girlfriend.,Monika Mitchell,"Hilarie Burton, Robert Buckley, Danneel Ackles, Antwon Tanner, ","2,836",Movie
A Christmas Prince: The Royal Baby,TV-PG,84.0,5.4,"Family, Romance",2019.0,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ","7,745",Movie
Christmas at the Plaza,TV-G,84.0,6.5,"Drama, Romance",2019.0,An archival historian is hired to create a Christmas display at the Plaza Hotel and is paired with a handsome Christmas decorator to bring it to life.,Ron Oliver,"Elizabeth Henstridge, Ryan Paevey, Bruce Davison, Julia Duffy, ","3,364",Movie
Northpole: Open for Christmas,TV-G,83.0,6.1,"Drama, Family, Fantasy",2015.0,"When Mackenzie inherits her aunt's once-majestic inn, she decides to sell it. But fixing up the rundown place is more challenging than she had anticipated. Then the magic of Christmas intervenes, with unexpected help from Santa's elves.",Douglas Barr,"Lori Loughlin, Bailee Madison, Dermot Mulroney, Paul Stewart, ","2,038",Movie
Saving Christmas Spirit,Not Rated,90.0,5.7,"Comedy, Drama, Romance",2022.0,An archaeologist discovers the importance of letting a little festive wonder back into her life and finds both history and love.,Wendy Faraone,"Ashley Newbrough, James Robinson, Jake Satow, Joanne Randle, ",501,Movie
A Royal Christmas Crush,TV-G,120.0,5.5,Romance,2023.0,"Ava accepts the opportunity of a lifetime to work at the Royal Ice Hotel which leads her to a surprise whirlwind romance with the most important guest of all, the Royal Prince himself.",Marita Grabiak,"Katie Cassidy, Stephen Huszar, Kathryn Kohut, Angela Besharah, ",701,Movie
Twas the Night Before Christmas,TV-G,84.0,6.7,"Comedy, Drama, Family",2022.0,"Follow a former actress as she needs to take charge of a town's annual Christmas Eve courtroom production debating the true authorship of the poem ""A Visit from St. Nick"".",Gary Yates,"Torrey DeVitto, Zane Holtz, Amanda Barker, Tanisha Thammavongsa, ",821,Movie
Christmas Getaway,TV-G,90.0,7.0,"Comedy, Drama, Romance",2017.0,"A travel writer takes a Christmas vacation, but finds herself double-booked with a widower, his mother, and his daughter at the holiday site.",Mel Damski,"Bridget Regan, Travis Van Winkle, Raven Stewart, Teryl Rothery, ","3,464",Movie
Christmas Incorporated,TV-G,85.0,6.4,"Comedy, Drama, Romance",2015.0,"Riley lands herself a new job via a case of mistaken identity, and her first assignment is to accompany her new boss on a trip to save a failing toy factory.",Jonathan Wright,"Shenae Grimes-Beech, Steve Lund, Ron Lea, Hannah Spear, ","2,310",Movie
A Dash of Christmas,Not Rated,83.0,6.7,Romance,2023.0,"To get her dream job at a foodie startup, Megan needs to learn how to bake, and she recruits bakery owner Aaron to help her.",Robin Dunn,"Laura Osnes, Christopher Russell, Amy Groening, Zoe Fish, ",380,Movie
A Glenbrooke Christmas,TV-G,85.0,6.6,"Drama, Romance",2020.0,"As Christmas nears, heiress Jessica Morgan seizes what seems like her last chance to experience a relaxed Christmas and heads off to the small town of Glenbrooke, where she meets a handsome fireman.",David I. Strasser,"Autumn Reeser, Antonio Cupo, Lisa MacFadden, Beau Daniels, ","1,694",Movie
Northpole,G,81.0,6.3,"Drama, Family, Fantasy",2014.0,"When a loss of togetherness spreads across the globe and threatens the existence of Santa's Northpole, a little boy named Kevin is called upon to save the day.",Douglas Barr,"Tiffani Thiessen, Josh Hopkins, Bailee Madison, Max Charles, ","1,995",Movie
Christmas Again,Not Rated,94.0,5.2,"Adventure, Comedy, Family",2021.0,"After a disastrous celebration, 12-year-old Rowena makes a wish and unexpectedly finds herself reliving Christmas Day over and over again.",Andy Fickman,"Scarlett Estevez, Alexis Carra, Beth Lacke, Ashlyn Jade Lopez, ","1,172",Movie
The Thin Man,TV-PG,91.0,7.9,"Comedy, Crime, Mystery",1934.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, ","32,021",Movie
A World Record Christmas,Not Rated,84.0,7.0,"Comedy, Drama, Romance",2023.0,"An autistic boy attempts to break a world record on Christmas Eve, uniting his family and community in the process. Inspired by real events.",Jason Bourque,"Nikki Deloach, Lucas Bryant, Aias Dalman, Daphne Hoskins, ",598,Movie
The Holly and the Ivy,Approved,80.0,7.3,Drama,1952.0,A heartwarming tale of an English minister and his family reunited at Christmas time. Their story includes a remembrance of their World War II trials.,George More O'Ferrall,"Ralph Richardson, Celia Johnson, Margaret Leighton, Denholm Elliott, ","1,932",Movie
Merry Swissmas,TV-PG,88.0,5.5,"Comedy, Drama, Romance",2022.0,"When Alex returns home to spend Christmas with her mother, she discovers that her ex-boyfriend and her best friend, who are now dating, are also visiting.",John L'Ecuyer,"Jodie Sweetin, Tim Rozon, Mikaela Lily Davies, Jane Wheeler, ",712,Movie
Sister Swap: A Hometown Holiday,TV-G,83.0,6.2,Romance,2021.0,A widow attempts to reopen her late-uncle's old dilapidated small town movie theater for one last Christmas screening.,Sean McNamara,"Kimberly Williams-Paisley, Mark Deklin, Susan Yeagley, Kevin Nealon, ","1,445",Movie
"Love, Lights, Hanukkah!",TV-G,84.0,6.8,"Drama, Romance",2020.0,"As Christina prepares her restaurant for its busiest time of year, she gets her DNA test revealing that she's Jewish. The discovery leads her to a new family and an unlikely romance over eight nights.",Mark Jean,"Mia Kirshner, Ben Savage, Marilu Henner, Advah Soudack, ","1,120",Movie
The Christmas Setup,TV-PG,85.0,6.8,"Drama, Romance",2020.0,"As they enjoy the local holidays together, Hugo and Patrick's attraction to each other is undeniable but as Hugo receives word of a big promotion requiring a move to London, he must decide what is most important to him.",Pat Mills,"Ben Lewis, Blake Lee, Fran Drescher, Ellen Wong, ","2,788",Movie
A Royal Christmas Ball,TV-PG,86.0,4.6,"Drama, Romance",2017.0,A bachelor king tries to reconnect with his old college sweetheart.,David DeCoteau,"Tara Reid, Ingo Rademacher, Haley Pullos, Mira Furlan, ","1,060",Movie
A Christmas Frequency,Not Rated,No data,5.3,Romance,2023.0,A young radio show producer sets her recently-separated boss up on live-on air blind dates to save their dying show but accidentally falls for one of the contenders and must choose her head or her heart in time for Christmas.,Lindsay Hartley,"Ansley Gordon, Denise Richards, Jonathan Stoddard, Casey Waller, ",206,Movie
A Christmas to Treasure,TV-G,89.0,4.9,"Comedy, Romance",2022.0,"The passing of a beloved old neighbor reunites six friends for a hometown holiday treasure hunt, where sparks fly once again between brand strategist Austin and his former best friend Everett.",Jake Helgren,"Taylor Frey, Kyle Dean Massey, Katie Walder, Mary-Margaret Humes, ",517,Movie
Silent Night,TV-PG,100.0,7.5,"Biography, Drama, War",2002.0,"In a cabin in a WWII front, a German mom with a son mediates a truce between 3 German and 3 American soldiers so they can all celebrate Christmas Eve 1944 together.",Rodney Gibbons,"Linda Hamilton, Matthew Harbour, Romano Orzari, Alain Goulem, ","1,825",Movie
A Cinderella Christmas,Unrated,93.0,6.2,"Comedy, Romance",2016.0,"After a wealthy celebrity falls in love with a mystery woman at his Christmas masquerade ball, he attempts to discover her true identity.",Tosca Musk,"Emma Catherine Rigby, Peter Porte, Sarah Stouffer, Leland B. Martin, ","3,482",Movie
A Christmas in Tennessee,TV-PG,87.0,6.7,"Drama, Family, Romance",2018.0,A real estate development consultant attempts to sweet-talk the owner of a small town bakery shop into selling her property.,Gary Yates,"Rachel Boston, Andrew W. Walker, Patricia Richardson, Kate Moyer, ","1,498",Movie
The Christmas Note,Not Rated,85.0,6.7,"Drama, Mystery",2015.0,"After moving into a new house, a woman befriends her next-door neighbor and helps her track down a mystery sibling she never knew she had.",Terry Ingram,"Jamie-Lynn Sigler, Leah Gibson, Lynda Boyd, Dylan Kingwell, ","1,486",Movie
Christmas on Honeysuckle Lane,PG,100.0,6.2,"Drama, Romance",2018.0,"Emma returns home to celebrate Christmas for the last time with her siblings in the house they grew up in. After their parents' recent passing, the siblings reluctantly agree to sell the family home on Honeysuckle Lane.",Maggie Greenwald,"Alicia Witt, Colin Ferguson, Laura Leighton, Jill Larson, ","1,340",Movie
Santa's Got Style,Not Rated,90.0,5.7,"Comedy, Romance",2022.0,"Follows Madison, a department store executive who takes the idea to hire a young Santa with fashionable style instead of a classic one, but she can't find the right model, until her best friend Ethan decides to be the Santa of her dreams.",Amy Force,"Franco Lo Presti, Kathryn Davis, Brian Sills, Annie Briggs, ",229,Movie
Hitched for the Holidays,TV-PG,87.0,6.5,"Drama, Romance",2012.0,An attractive pair agrees to be each other's supposed significant other throughout the holidays to keep their meddling families at bay.,Michael M. Scott,"Joey Lawrence, Emily Hampshire, Linda Darlow, Marilu Henner, ","2,269",Movie
Making Spirits Bright,TV-G,84.0,6.2,"Drama, Romance",2021.0,Grace and Tony are from two separate families who are in the business of decorating homes for Christmas. Unfortunately they have also been in feud for as long as anyone can remember. But ...                See full summary »,David Bercovici-Artieda,"Taylor Cole, Carlo Marks, Sarah Surh, John Cassini, ",863,Movie
A December Bride,TV-G,86.0,6.7,"Comedy, Romance",2016.0,"A holiday wedding brings no joy to the bride's cousin, who was literally left by the groom right at the altar. But she might find her true love there when she gains a fake fiancé.",David Winning,"Jessica Lowndes, Daniel Lissing, Jay Hindle, Pauline Egan, ","3,557",Movie
Christmas in Tune,TV-PG,87.0,7.0,"Drama, Romance",2021.0,"The story of Belle, a marketing executive who is worried that she might lose her job.",Emily Moss Wilson,"Reba McEntire, John Schneider, Candice King, Justin David, ",713,Movie
